n,tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
0.001,1,139.312,91.67305,81.40121,139.2475,91.78848,81.28563
0.001,2,78.5623,2.44153,80.6109,79.8517,0.097325,79.8982
0.001,3,3.14159,81.5024,79.3644,0.147647,79.9351,79.8147
0.001,4,111.1158,110.2533,2.767095,110.7631,110.6474,0.1194209
0.1,1,128.4767,88.50617,78.48095,128.4039,88.61026,78.3788
0.1,2,74.6867,2.47525,76.7489,75.9539,0.0994959,76.0041
0.1,3,3.09879,77.5462,75.4052,0.144178,76.0369,75.9211
0.1,4,103.6503,102.569,2.76699,103.1769,103.0643,0.1194165
0.15,1,123.3098,86.81395,77.08187,123.2332,86.9075,76.98693
0.15,2,72.8685,2.49116,74.9371,74.1259,0.100546,74.1779
0.15,3,3.0789,75.6902,73.5478,0.142572,74.2087,74.095
0.15,4,100.0233,98.845,2.766937,99.49355,99.38248,0.1194144
0.2,1,118.3723,85.09454,75.7303,118.2931,85.17584,75.64281
0.2,2,71.1351,2.50637,73.2099,72.3835,0.101564,72.4371
0.2,3,3.06004,73.9208,71.7771,0.141053,72.4661,72.3544
0.2,4,96.5203,95.2533,2.76688,95.9381,95.8287,0.119412
0.25,1,113.6716,83.36789,74.42389,113.5916,83.43602,74.34405
0.25,2,69.4807,2.52094,71.5613,70.7207,0.102552,70.776
0.25,3,3.04215,72.232,70.087,0.139616,70.8032,70.6935
0.25,4,93.1536,91.8054,2.76683,92.5231,92.4153,0.11941
0.3,1,109.2092,81.64956,73.16047,109.1302,81.70421,73.08843
0.3,2,67.9,2.5349,69.9863,69.1324,0.103509,69.1892
0.3,3,3.02516,70.6186,68.4723,0.138255,69.2147,69.1069
0.3,4,89.9298,88.5073,2.76678,89.2552,89.149,0.119408
0.35,1,104.982,79.95146,71.93799,104.9059,79.99276,71.87388
0.35,2,66.3883,2.54829,68.48,67.6136,0.104437,67.6718
0.35,3,3.00899,69.0754,66.928,0.136963,67.6957,67.5897
0.35,4,86.8517,85.3611,2.76672,86.137,86.0324,0.119406
0.4,1,100.9834,78.28252,70.75451,100.912,78.31091,70.69845
0.4,2,64.9411,2.56113,67.038,66.1599,0.105336,66.2195
0.4,3,2.9936,67.5982,65.4496,0.135737,66.2418,66.1375
0.4,4,83.919,82.3658,2.76667,83.168,83.065,0.119403
0.45,1,97.2049,76.6492,69.6082,97.14,76.6654,69.5603
0.45,2,63.5544,2.57347,65.6562,64.7671,0.106207,64.8281
0.45,3,2.97893,66.1827,64.033,0.134572,64.849,64.7462
0.45,4,81.1289,79.5184,2.76662,80.3453,80.2439,0.119401
0.5,1,93.6366,75.0561,68.4975,93.5797,75.0608,68.4577
0.5,2,62.2244,2.58532,64.3311,63.4316,0.107052,63.4939
0.5,3,2.96493,64.8252,62.6744,0.133463,63.5133,63.4121
0.5,4,78.4773,76.8142,2.76656,77.6646,77.5646,0.119399
0.55,1,90.2676,73.5063,67.4206,90.2201,73.5003,67.3891
0.55,2,60.9479,2.59673,63.0592,62.1499,0.107869,62.2134
0.55,3,2.95157,63.5222,61.3704,0.132407,62.2315,62.1318
0.55,4,75.9592,74.2474,2.76651,75.1203,75.0218,0.119397
0.6,1,87.087,72.0016,66.3761,87.0499,71.9858,66.3528
0.6,2,59.7215,2.6077,61.8373,60.9188,0.108662,60.9834
0.6,3,2.93879,62.2705,60.1176,0.131401,61.0002,60.902
0.6,4,73.5686,71.8121,2.76646,72.7063,72.6092,0.119395
0.65,1,84.0837,70.5428,65.3626,84.0581,70.5183,65.3476
0.65,2,58.5425,2.61827,60.6626,59.7353,0.10943,59.8011
0.65,3,2.92656,61.0671,58.9132,0.130441,59.8167,59.7198
0.65,4,71.2994,69.5014,2.7664,70.4163,70.3206,0.119392
0.7,1,81.2467,69.1304,64.3787,81.2334,69.0978,64.372
0.7,2,57.4081,2.62845,59.5324,58.5969,0.110175,58.6638
0.7,3,2.91486,59.9093,57.7544,0.129525,58.6781,58.5826
0.7,4,69.1452,67.3089,2.76635,68.2436,68.1492,0.11939
0.75,1,78.5656,67.7638,63.4232,78.5653,67.7241,63.4247
0.75,2,56.3159,2.63828,58.4443,57.5009,0.110897,57.5688
0.75,3,2.90363,58.7945,56.6387,0.128649,57.582,57.4877
0.75,4,67.0997,65.228,2.7663,66.1817,66.0885,0.119388
0.8,1,76.0303,66.4425,62.4949,76.0435,66.3964,62.5047
0.8,2,55.2635,2.64775,57.3958,56.445,0.111597,56.514
0.8,3,2.89287,57.7204,55.5637,0.127812,56.526,56.433
0.8,4,65.1568,63.2521,2.76624,64.2242,64.1322,0.119386
0.85,1,73.6314,65.1654,61.5926,73.6585,65.1136,61.6106
0.85,2,54.2489,2.6569,56.385,55.4271,0.112276,55.497
0.85,3,2.88254,56.6848,54.5272,0.127011,55.508,55.4162
0.85,4,63.3105,61.375,2.76619,62.3649,62.274,0.119384
0.9,1,71.3599,63.9313,60.7154,71.4012,63.8746,60.7415
0.9,2,53.27,2.66574,55.4098,54.4451,0.112936,54.516
0.9,3,2.87262,55.6857,53.5273,0.126243,54.5259,54.4353
0.9,4,61.555,59.5909,2.76614,60.5979,60.5081,0.119382
0.95,1,69.2073,62.7389,59.862,69.263,62.678,59.8963
0.95,2,52.3249,2.67428,54.4683,53.4973,0.113575,53.5691
0.95,3,2.86308,54.7212,52.5619,0.125508,53.578,53.4884
0.95,4,59.8849,57.8941,2.76608,58.9176,58.8289,0.119379
0.999,1,67.2057,61.6095,59.0481,67.2756,61.545,59.0902
0.999,2,51.43,2.68238,53.5768,52.5998,0.114184,52.6725
0.999,3,2.85408,53.8078,51.6477,0.124816,52.6804,52.5919
0.999,4,58.326,56.3107,2.76603,57.3499,57.2622,0.119377
